company_name,contact_person,email,date_of_birth,address
Apple Inc.,John Smith,john.smith@apple.com,1985-03-15,1 Apple Park Way Cupertino CA 94025
Microsoft Corporation,Sarah Johnson,sarah.j@microsoft.com,1990-07-22,1 Microsoft Way Redmond WA 98052
Google LLC,Mike Wilson,mike.w@google.com,1988-11-30,1600 Amphitheatre Parkway Mountain View CA 94043
Amazon.com Inc,David Brown,david.b@amazon.com,1982-04-18,410 Terry Ave N Seattle WA 98109
Meta Platforms,Lisa Chen,lisa.c@meta.com,1991-09-25,1 Hacker Way Menlo Park CA 94025
Netflix Inc.,Robert Taylor,rob.t@netflix.com,1987-06-12,100 Winchester Circle Los Gatos CA 95032
Tesla Motors,Emma White,emma.w@tesla.com,1989-02-28,3500 Deer Creek Rd Palo Alto CA 94304
IBM Corporation,James Lee,james.l@ibm.com,1983-12-05,1 New Orchard Road Armonk NY 10504
Intel Corporation,Maria Garcia,m.garcia@intel.com,1986-08-14,2200 Mission College Blvd Santa Clara CA 95054
Oracle Systems,Tom Anderson,t.anderson@oracle.com,1984-05-20,500 Oracle Parkway Redwood City CA 94065
Salesforce Inc,Jennifer Wong,j.wong@salesforce.com,1992-01-15,415 Mission St San Francisco CA 94105
Adobe Corporation,Michael Chang,m.chang@adobe.com,1988-07-07,345 Park Avenue San Jose CA 95110
Twitter Corp.,Rachel Green,r.green@twitter.com,1991-03-28,1355 Market St San Francisco CA 94103
Uber Technologies,Daniel Kim,d.kim@uber.com,1987-11-11,1455 Market St San Francisco CA 94103
Airbnb Inc.,Sophie Martin,s.martin@airbnb.com,1993-04-02,888 Brannan St San Francisco CA 94103
PayPal Holdings,Chris Peterson,c.peterson@paypal.com,1985-09-19,2211 North First Street San Jose CA 95131
NVIDIA Corp,Amanda Chen,a.chen@nvidia.com,1990-12-08,2788 San Tomas Expressway Santa Clara CA 95051
Dell Technologies,Robert Wilson,r.wilson@dell.com,1981-06-30,1 Dell Way Round Rock TX 78682
HP Enterprise,Linda Martinez,l.martinez@hp.com,1989-05-17,1501 Page Mill Road Palo Alto CA 94304
Cisco Systems,Kevin O'Brien,k.obrien@cisco.com,1986-02-23,170 West Tasman Dr San Jose CA 95134
Qualcomm Inc.,Patricia Lee,p.lee@qualcomm.com,1992-08-11,5775 Morehouse Dr San Diego CA 92121
VMware Inc.,Mark Thompson,m.thompson@vmware.com,1984-10-09,3401 Hillview Avenue Palo Alto CA 94304
Zoom Video,Helen Zhang,h.zhang@zoom.com,1991-07-14,55 Almaden Blvd San Jose CA 95113
Square Inc.,David Miller,d.miller@square.com,1988-03-31,1455 Market St San Francisco CA 94103
Slack Technologies,Anna Brown,a.brown@slack.com,1993-01-05,500 Howard St San Francisco CA 94105
Dropbox Inc.,Peter Wang,p.wang@dropbox.com,1987-04-22,1800 Owens St San Francisco CA 94158
Lyft Inc.,Sarah Davis,s.davis@lyft.com,1990-11-16,185 Berry St San Francisco CA 94107
Pinterest Inc.,John Rodriguez,j.rodriguez@pinterest.com,1986-08-28,651 Brannan St San Francisco CA 94107
Snap Inc.,Emily Wilson,e.wilson@snap.com,1992-05-13,2772 Donald Douglas Loop Santa Monica CA 90405
Spotify Technology,Michael Brown,m.brown@spotify.com,1989-09-07,4 World Trade Center New York NY 10007
Shopify Inc.,Jessica Lee,j.lee@shopify.com,1991-02-19,150 Elgin Street Ottawa ON K2P 1L4
DocuSign Inc.,Andrew Chen,a.chen@docusign.com,1985-07-25,221 Main St San Francisco CA 94105
Twilio Inc.,Michelle Park,m.park@twilio.com,1988-12-03,375 Beale St San Francisco CA 94105
Palantir Tech,Richard Kim,r.kim@palantir.com,1983-04-11,1555 Blake Street Denver CO 80202
Roblox Corp.,Laura Martinez,l.martinez@roblox.com,1992-06-08,970 Park Place San Mateo CA 94403
Unity Software,Thomas Anderson,t.anderson@unity.com,1987-01-29,30 3rd Street San Francisco CA 94103
Snowflake Inc.,Karen White,k.white@snowflake.com,1990-10-15,450 Concar Dr San Mateo CA 94402
Okta Inc.,Brian Johnson,b.johnson@okta.com,1986-05-27,100 First St San Francisco CA 94105
Atlassian Corp.,Emma Thompson,e.thompson@atlassian.com,1991-08-04,350 Bush Street San Francisco CA 94104
